Column1,Column2,Column3,Column4,Column5
1370240926946193408 ,2021-03-12 ,10:41:09 ,+0530 ,"<Surjeet00639403> @Twitter @TwitterIndia @verified  this is the official Twitter account of @Kisanektamorcha Kisan Ekta Morcha , Please verify this account with Blue tick  #KisanEktaMorcha #Twitter #TwitterIndia #Verified #FarmersProtest #IndianFarmersProtest #KisanEktaZindabaad #India #NewDelhi"
1369517034057371649 ,2021-03-10 ,10:44:39 ,+0530 ,<Nawaiwaqt_> برطانوی پارلیمنٹ میں بحث:بھارتی کسانوں کیخلاف کریک ڈائون پر تشویش  https://t.co/DoZxHWdRMC #UK #Parliament #IndianFarmersProtest @GOVUK @PMOIndia @narendramodi @BorisJohnson  https://t.co/Zo0pMtDln1
1369342897842176005 ,2021-03-09 ,23:12:42 ,+0530 ,<3salmon> #IndianFarmersProtest
1369342779105681414 ,2021-03-09 ,23:12:14 ,+0530 ,<3salmon> @NevilleSouthall @threadreaderapp - pls unroll for the #IndianFarmersProtest
1369304261306253317 ,2021-03-09 ,20:39:10 ,+0530 ,<GagganSabh07> .@GurchS thank you for speaking to us about the #Indianfarmersprotest debate in the House of Commons and your petition. .@TanDhesi .@VirendraSharma .@PreetKGillMP .@SeemaMalhotra1 .@NadiaWhittomeMP .@jeremycorbyn .@SikhFedUK .@Kisanektamorcha    https://t.co/deOfGGvvh4
1369301780220219400 ,2021-03-09 ,20:29:19 ,+0530 ,"<marchforfarmers> UK - ""False Assertions"": India Slams UK Lawmakers' Debate On Farmers' Protest  https://t.co/71lV9ZhKO3 via @YouTube  #MarchForFarmers #kisanektamorcha #stopambani #StopAdani #humanrights #istandwithfarmers #FarmersProtest #Justice #indianfarmersrevolution2020 #indianfarmersprotest"
1369251991801659392 ,2021-03-09 ,17:11:28 ,+0530 ,"<tv9gujarati> બ્રિટનની સંસદમાં ચર્ચાયો ખેડૂત આંદોલનનો મુદ્દો, 90 મિનીટ ચાલી ચર્ચા, જાણો શું કહ્યું બ્રિટિશ સરકારે  Read More :  https://t.co/xHYtsLwCyx  #tv9gujarati #tv9news #internationalnews #farmersprotest #britishparliament #indianfarmersprotest"
1369201528855175171 ,2021-03-09 ,13:50:57 ,+0530 ,<Surjeet00639403> #SaveIndianFarmers #SaveFarmers #FarmersProtest #IndianFarmersProtest #CancelAll3AntiFarmerLaws #IndianFarmersHumanRights #HumanRights #GodiMediaAntiFarmer #JusticeForRanjitSingh #FarmersCall_BJPboycott #TheWorldIsWatching #KisanVirodhiNarendraModi #India #India2021 #Delhi #UP  https://t.co/IQ8LwT0OZy
1369063212528922631 ,2021-03-09 ,04:41:20 ,+0530 ,"<marchforfarmers> On Women's Day, Women Farmers At Protest Sites  https://t.co/wjwTvd1crD via @YouTube  MARCH FOR FARMERS #MarchForFarmers #kisanektamorcha #stopambani #StopAdani #humanrights #istandwithfarmers #FarmersProtest #Justice #indianfarmersrevolution2020 #indianfarmersprotest  https://t.co/6P8fFlmWpr"
1368965263731875842 ,2021-03-08 ,22:12:07 ,+0530 ,<GagganSabh07> You can watch the debate on the #IndianFarmersProtest currently taking place at the @HouseofCommons here :   https://t.co/yyUHGuXngW  #FarmersProtests #FarmersProtest #Indianfarmers #indianfarmershumanrights
